segment_text,main_category,subcategory,combined_category,word_count,token_count,start_position,end_position,original_sentence,token_ids,segment_id
"Be ’, lasciamola dormire, povera principessa senza altri pensieri che non siano quelli di procurarsi un pessimo pane azimo e di lavarsi, ma non troppo, e soltanto per giocare.",Indigenous,UNLABELLED,Indigenous,28,34,61285,61459,"Be’, lasciamola dormire, povera principessa senza altri pensieri che non siano quelli di procurarsi un pessimo pane azimo e di lavarsi, ma non troppo, e soltanto per giocare.","['657-1', '657-2', '657-3', '657-4', '657-5', '657-6', '657-7', '657-8', '657-9', '657-10', '657-11', '657-12', '657-13', '657-14', '657-15', '657-16', '657-17', '657-18', '657-19', '657-20', '657-21', '657-22', '657-23', '657-24', '657-25', '657-26', '657-27', '657-28', '657-29', '657-30', '657-31', '657-32', '657-33', '657-34']",705
"Io, invece, non potevo dormire.",UNLABELLED,UNLABELLED,UNLABELLED,5,8,61463,61494,"Io, invece, non potevo dormire.","['658-1', '658-2', '658-3', '658-4', '658-5', '658-6', '658-7', '658-8']",706
"La mia stanchezza aveva superato ogni limite e ora i nervi erano scoperti, sensibili a ogni fruscio, a ogni grido che la notte amplificava.",UNLABELLED,UNLABELLED,UNLABELLED,24,27,61495,61634,"La mia stanchezza aveva superato ogni limite e ora i nervi erano scoperti, sensibili a ogni fruscio, a ogni grido che la notte amplificava.","['659-1', '659-2', '659-3', '659-4', '659-5', '659-6', '659-7', '659-8', '659-9', '659-10', '659-11', '659-12', '659-13', '659-14', '659-15', '659-16', '659-17', '659-18', '659-19', '659-20', '659-21', '659-22', '659-23', '659-24', '659-25', '659-26', '659-27']",707
"Sempre più lontano, gli sciacalli abbaiavano per indicare alla iena che c ’ era bisogno del suo aiuto per dissotterrare una carogna.",Description,Landscape,Description_Landscape,21,24,61635,61765,"Sempre più lontano, gli sciacalli abbaiavano per indicare alla iena che c’era bisogno del suo aiuto per dissotterrare una carogna.","['660-1', '660-2', '660-3', '660-4', '660-5', '660-6', '660-7', '660-8', '660-9', '660-10', '660-11', '660-12', '660-13', '660-14', '660-15', '660-16', '660-17', '660-18', '660-19', '660-20', '660-21', '660-22', '660-23', '660-24']",708
"E la iena, la spaventosa nottambula, sarebbe arrivata facendo impazzire di gioia i suoi alleati, scavando, strappando, dissotterrando per tutti e servendosi lei per prima.",UNLABELLED,UNLABELLED,UNLABELLED,25,31,61766,61937,"E la iena, la spaventosa nottambula, sarebbe arrivata facendo impazzire di gioia i suoi alleati, scavando, strappando, dissotterrando per tutti e servendosi lei per prima.","['661-1', '661-2', '661-3', '661-4', '661-5', '661-6', '661-7', '661-8', '661-9', '661-10', '661-11', '661-12', '661-13', '661-14', '661-15', '661-16', '661-17', '661-18', '661-19', '661-20', '661-21', '661-22', '661-23', '661-24', '661-25', '661-26', '661-27', '661-28', '661-29', '661-30', '661-31']",709
"E che scorpacciate con tanti morti lasciati, lì, da spreconi !",UNLABELLED,UNLABELLED,UNLABELLED,10,13,61938,61999,"E che scorpacciate con tanti morti lasciati, lì, da spreconi!","['662-1', '662-2', '662-3', '662-4', '662-5', '662-6', '662-7', '662-8', '662-9', '662-10', '662-11', '662-12', '662-13']",710
Se gli uomini si mettono d ’ accordo è la fine.,UNLABELLED,UNLABELLED,UNLABELLED,10,12,62000,62045,Se gli uomini si mettono d’accordo è la fine.,"['663-1', '663-2', '663-3', '663-4', '663-5', '663-6', '663-7', '663-8', '663-9', '663-10', '663-11', '663-12']",711
"Ritorneremo ai magri pasti di prima, ai cani (questi traditori !)",UNLABELLED,UNLABELLED,UNLABELLED,10,14,62046,62110,"Ritorneremo ai magri pasti di prima, ai cani (questi traditori!)","['664-1', '664-2', '664-3', '664-4', '664-5', '664-6', '664-7', '664-8', '664-9', '664-10', '664-11', '664-12', '664-13', '664-14']",712
", ai cammelli scuoiati: ma ci resteranno sempre i muli della cara, provvida Sussistenza.",UNLABELLED,UNLABELLED,UNLABELLED,13,17,62110,62198,", ai cammelli scuoiati: ma ci resteranno sempre i muli della cara, provvida Sussistenza.","['665-1', '665-2', '665-3', '665-4', '665-5', '665-6', '665-7', '665-8', '665-9', '665-10', '665-11', '665-12', '665-13', '665-14', '665-15', '665-16', '665-17']",713
"Gli altri animali dormivano appollaiati qua e là, e non davano fastidio.",Description,Landscape,Description_Landscape,12,14,62202,62274,"Gli altri animali dormivano appollaiati qua e là, e non davano fastidio.","['666-1', '666-2', '666-3', '666-4', '666-5', '666-6', '666-7', '666-8', '666-9', '666-10', '666-11', '666-12', '666-13', '666-14']",714
"Sazio di mosche, il camaleonte, stavolta in abito da sera, ripensava a quella puzzolente sigaretta che gli avevano data a intendere per buona.",UNLABELLED,UNLABELLED,UNLABELLED,23,27,62275,62417,"Sazio di mosche, il camaleonte, stavolta in abito da sera, ripensava a quella puzzolente sigaretta che gli avevano data a intendere per buona.","['667-1', '667-2', '667-3', '667-4', '667-5', '667-6', '667-7', '667-8', '667-9', '667-10', '667-11', '667-12', '667-13', '667-14', '667-15', '667-16', '667-17', '667-18', '667-19', '667-20', '667-21', '667-22', '667-23', '667-24', '667-25', '667-26', '667-27']",715
"Lo scoiattolo, troppo nobile per questo mondo, riposava nell ’ incavo del suo albero.",Description,Landscape,Description_Landscape,13,17,62418,62501,"Lo scoiattolo, troppo nobile per questo mondo, riposava nell’incavo del suo albero.","['668-1', '668-2', '668-3', '668-4', '668-5', '668-6', '668-7', '668-8', '668-9', '668-10', '668-11', '668-12', '668-13', '668-14', '668-15', '668-16', '668-17']",716
Così il gatto selvatico sperava di sorprenderlo all ’ alba.,UNLABELLED,UNLABELLED,UNLABELLED,9,11,62502,62559,Così il gatto selvatico sperava di sorprenderlo all’alba.,"['669-1', '669-2', '669-3', '669-4', '669-5', '669-6', '669-7', '669-8', '669-9', '669-10', '669-11']",717
"Tutto, dunque, era in ordine e il sonno di lei faceva parte del quadro.",UNLABELLED,UNLABELLED,UNLABELLED,14,17,62563,62634,"Tutto, dunque, era in ordine e il sonno di lei faceva parte del quadro.","['670-1', '670-2', '670-3', '670-4', '670-5', '670-6', '670-7', '670-8', '670-9', '670-10', '670-11', '670-12', '670-13', '670-14', '670-15', '670-16', '670-17']",718
Vidi un ’ ombra a venti passi da me e toccai istintivamente la rivoltella.,UNLABELLED,UNLABELLED,UNLABELLED,13,15,62638,62710,Vidi un’ombra a venti passi da me e toccai istintivamente la rivoltella.,"['671-1', '671-2', '671-3', '671-4', '671-5', '671-6', '671-7', '671-8', '671-9', '671-10', '671-11', '671-12', '671-13', '671-14', '671-15']",719
"La sfilai cauto dalla fondina, col fiato sospeso, e tolsi la sicura.",UNLABELLED,UNLABELLED,UNLABELLED,12,15,62711,62779,"La sfilai cauto dalla fondina, col fiato sospeso, e tolsi la sicura.","['672-1', '672-2', '672-3', '672-4', '672-5', '672-6', '672-7', '672-8', '672-9', '672-10', '672-11', '672-12', '672-13', '672-14', '672-15']",720
Ma l ’ ombra era già scomparsa.,UNLABELLED,UNLABELLED,UNLABELLED,6,8,62780,62809,Ma l’ombra era già scomparsa.,"['673-1', '673-2', '673-3', '673-4', '673-5', '673-6', '673-7', '673-8']",721
"E come se questo avesse allontanato ogni pericolo, mi rassicurai.",UNLABELLED,UNLABELLED,UNLABELLED,10,12,62810,62875,"E come se questo avesse allontanato ogni pericolo, mi rassicurai.","['674-1', '674-2', '674-3', '674-4', '674-5', '674-6', '674-7', '674-8', '674-9', '674-10', '674-11', '674-12']",722
"Ma ecco che ripensandoci la cosa mi parve più grave, appunto perché l ’ ombra era sparita, segno che non le erano sfuggiti i miei pur cautissimi movimenti e che mi sentiva sveglio.",UNLABELLED,UNLABELLED,UNLABELLED,32,36,62876,63054,"Ma ecco che ripensandoci la cosa mi parve più grave, appunto perché l’ombra era sparita, segno che non le erano sfuggiti i miei pur cautissimi movimenti e che mi sentiva sveglio.","['675-1', '675-2', '675-3', '675-4', '675-5', '675-6', '675-7', '675-8', '675-9', '675-10', '675-11', '675-12', '675-13', '675-14', '675-15', '675-16', '675-17', '675-18', '675-19', '675-20', '675-21', '675-22', '675-23', '675-24', '675-25', '675-26', '675-27', '675-28', '675-29', '675-30', '675-31', '675-32', '675-33', '675-34', '675-35', '675-36']",723
Questo almeno pensai.,UNLABELLED,UNLABELLED,UNLABELLED,3,4,63055,63076,Questo almeno pensai.,"['676-1', '676-2', '676-3', '676-4']",724
"Ravvivare il fuoco, oppure spegnerlo del tutto ?",UNLABELLED,UNLABELLED,UNLABELLED,7,9,63077,63124,"Ravvivare il fuoco, oppure spegnerlo del tutto?","['677-1', '677-2', '677-3', '677-4', '677-5', '677-6', '677-7', '677-8', '677-9']",725
"Se era un animale, il fuoco sarebbe bastato a tenerlo lontano, ma se era un uomo, il geloso custode della donna, oppure uno sbandato guerrigliero, non bisognava fargli luce per spararmi.",UNLABELLED,UNLABELLED,UNLABELLED,31,37,63125,63311,"Se era un animale, il fuoco sarebbe bastato a tenerlo lontano, ma se era un uomo, il geloso custode della donna, oppure uno sbandato guerrigliero, non bisognava fargli luce per spararmi.","['678-1', '678-2', '678-3', '678-4', '678-5', '678-6', '678-7', '678-8', '678-9', '678-10', '678-11', '678-12', '678-13', '678-14', '678-15', '678-16', '678-17', '678-18', '678-19', '678-20', '678-21', '678-22', '678-23', '678-24', '678-25', '678-26', '678-27', '678-28', '678-29', '678-30', '678-31', '678-32', '678-33', '678-34', '678-35', '678-36', '678-37']",726
"Ma poteva essere un animale, perché l ’ ombra che avevo vista era bassa e allungata.",UNLABELLED,UNLABELLED,UNLABELLED,15,18,63315,63397,"Ma poteva essere un animale, perché l’ombra che avevo vista era bassa e allungata.","['679-1', '679-2', '679-3', '679-4', '679-5', '679-6', '679-7', '679-8', '679-9', '679-10', '679-11', '679-12', '679-13', '679-14', '679-15', '679-16', '679-17', '679-18']",727
"Non credo che un uomo possa andare carponi a quel modo e sparire di colpo, senza far troppo rumore, e senza sentire l ’ impulso di ergersi.",UNLABELLED,UNLABELLED,UNLABELLED,26,30,63398,63535,"Non credo che un uomo possa andare carponi a quel modo e sparire di colpo, senza far troppo rumore, e senza sentire l’impulso di ergersi.","['680-1', '680-2', '680-3', '680-4', '680-5', '680-6', '680-7', '680-8', '680-9', '680-10', '680-11', '680-12', '680-13', '680-14', '680-15', '680-16', '680-17', '680-18', '680-19', '680-20', '680-21', '680-22', '680-23', '680-24', '680-25', '680-26', '680-27', '680-28', '680-29', '680-30']",728
"Se era un uomo, peggio per lui.",UNLABELLED,UNLABELLED,UNLABELLED,7,9,63536,63567,"Se era un uomo, peggio per lui.","['681-1', '681-2', '681-3', '681-4', '681-5', '681-6', '681-7', '681-8', '681-9']",729
Ma un indigeno non avrebbe affrontato la boscaglia senza nemmeno un tizzone acceso che gli servisse da torcia.,Indigenous,UNLABELLED,Indigenous,18,19,63568,63678,Ma un indigeno non avrebbe affrontato la boscaglia senza nemmeno un tizzone acceso che gli servisse da torcia.,"['682-1', '682-2', '682-3', '682-4', '682-5', '682-6', '682-7', '682-8', '682-9', '682-10', '682-11', '682-12', '682-13', '682-14', '682-15', '682-16', '682-17', '682-18', '682-19']",730
"Poteva essere, ripeto, un nemico sbandato, ma questa ipotesi mi parve da scartare.",UNLABELLED,UNLABELLED,UNLABELLED,13,17,63679,63761,"Poteva essere, ripeto, un nemico sbandato, ma questa ipotesi mi parve da scartare.","['683-1', '683-2', '683-3', '683-4', '683-5', '683-6', '683-7', '683-8', '683-9', '683-10', '683-11', '683-12', '683-13', '683-14', '683-15', '683-16', '683-17']",731
La guerra era passata in quei posti da molte settimane.,UNLABELLED,UNLABELLED,UNLABELLED,10,11,63762,63817,La guerra era passata in quei posti da molte settimane.,"['684-1', '684-2', '684-3', '684-4', '684-5', '684-6', '684-7', '684-8', '684-9', '684-10', '684-11']",732
"Eppure, quei cadaveri lassù, vicino alla parete di basalto … No, potevo rispondere anche a questo dubbio, i tre abissini erano morti mitragliati da un aereo e nel gesto di colui che indicava il cielo non bisognava leggere, dunque, nessuna speranza e nessuna certezza, oltre quella che gli aveva portato la morte.",UNLABELLED,UNLABELLED,UNLABELLED,51,60,63818,64129,"Eppure, quei cadaveri lassù, vicino alla parete di basalto… No, potevo rispondere anche a questo dubbio, i tre abissini erano morti mitragliati da un aereo e nel gesto di colui che indicava il cielo non bisognava leggere, dunque, nessuna speranza e nessuna certezza, oltre quella che gli aveva portato la morte.","['685-1', '685-2', '685-3', '685-4', '685-5', '685-6', '685-7', '685-8', '685-9', '685-10', '685-11', '685-12', '685-13', '685-14', '685-15', '685-16', '685-17', '685-18', '685-19', '685-20', '685-21', '685-22', '685-23', '685-24', '685-25', '685-26', '685-27', '685-28', '685-29', '685-30', '685-31', '685-32', '685-33', '685-34', '685-35', '685-36', '685-37', '685-38', '685-39', '685-40', '685-41', '685-42', '685-43', '685-44', '685-45', '685-46', '685-47', '685-48', '685-49', '685-50', '685-51', '685-52', '685-53', '685-54', '685-55', '685-56', '685-57', '685-58', '685-59', '685-60']",733
"E se fossero stati del villaggio, li avrebbero sotterrati.",UNLABELLED,UNLABELLED,UNLABELLED,9,11,64130,64188,"E se fossero stati del villaggio, li avrebbero sotterrati.","['686-1', '686-2', '686-3', '686-4', '686-5', '686-6', '686-7', '686-8', '686-9', '686-10', '686-11']",734
Nessuno al villaggio sospettava che lassù ci fossero tre cadaveri.,UNLABELLED,UNLABELLED,UNLABELLED,10,11,64189,64255,Nessuno al villaggio sospettava che lassù ci fossero tre cadaveri.,"['687-1', '687-2', '687-3', '687-4', '687-5', '687-6', '687-7', '687-8', '687-9', '687-10', '687-11']",735
"Dunque, era un animale.",UNLABELLED,UNLABELLED,UNLABELLED,4,6,64259,64282,"Dunque, era un animale.","['688-1', '688-2', '688-3', '688-4', '688-5', '688-6']",736
Ma quale animale è tanto cauto da nascondersi se si sente guardato ?,UNLABELLED,UNLABELLED,UNLABELLED,12,13,64283,64350,Ma quale animale è tanto cauto da nascondersi se si sente guardato?,"['689-1', '689-2', '689-3', '689-4', '689-5', '689-6', '689-7', '689-8', '689-9', '689-10', '689-11', '689-12', '689-13']",737
"Quale animale non è tentato di urlare se sente un odore sospetto, l ’ odore dell ’ uomo ?",UNLABELLED,UNLABELLED,UNLABELLED,16,20,64351,64435,"Quale animale non è tentato di urlare se sente un odore sospetto, l’odore dell’uomo?","['690-1', '690-2', '690-3', '690-4', '690-5', '690-6', '690-7', '690-8', '690-9', '690-10', '690-11', '690-12', '690-13', '690-14', '690-15', '690-16', '690-17', '690-18', '690-19', '690-20']",738
Ravvivai il fuoco.,UNLABELLED,UNLABELLED,UNLABELLED,3,4,64439,64457,Ravvivai il fuoco.,"['691-1', '691-2', '691-3', '691-4']",739
"La donna seguitava il suo sonno, e non occorreva svegliarla.",UNLABELLED,UNLABELLED,UNLABELLED,10,12,64458,64518,"La donna seguitava il suo sonno, e non occorreva svegliarla.","['692-1', '692-2', '692-3', '692-4', '692-5', '692-6', '692-7', '692-8', '692-9', '692-10', '692-11', '692-12']",740
"Forse avrebbe fraintese le mie intenzioni, e si sarebbe di nuovo offerta, prima ancora che riuscissi a spiegarle di che si trattava.",Indigenous,UNLABELLED,Indigenous,22,25,64519,64651,"Forse avrebbe fraintese le mie intenzioni, e si sarebbe di nuovo offerta, prima ancora che riuscissi a spiegarle di che si trattava.","['693-1', '693-2', '693-3', '693-4', '693-5', '693-6', '693-7', '693-8', '693-9', '693-10', '693-11', '693-12', '693-13', '693-14', '693-15', '693-16', '693-17', '693-18', '693-19', '693-20', '693-21', '693-22', '693-23', '693-24', '693-25']",741
"E anche se fossi riuscito a spiegarle che là c ’ era un ’ ombra, avrebbe riso.",Indigenous,UNLABELLED,Indigenous,15,19,64652,64726,"E anche se fossi riuscito a spiegarle che là c’era un’ombra, avrebbe riso.","['694-1', '694-2', '694-3', '694-4', '694-5', '694-6', '694-7', '694-8', '694-9', '694-10', '694-11', '694-12', '694-13', '694-14', '694-15', '694-16', '694-17', '694-18', '694-19']",742
« Che pauroso signore mi è capitato.,Indigenous,UNLABELLED,Indigenous,6,8,64727,64762,«Che pauroso signore mi è capitato.,"['695-1', '695-2', '695-3', '695-4', '695-5', '695-6', '695-7', '695-8']",743
"Ci sono ombre dappertutto, ma le ombre non fanno male. »",Indigenous,UNLABELLED,Indigenous,10,13,64763,64818,"Ci sono ombre dappertutto, ma le ombre non fanno male.»","['696-1', '696-2', '696-3', '696-4', '696-5', '696-6', '696-7', '696-8', '696-9', '696-10', '696-11', '696-12', '696-13']",744
"In preda a una paura tanto più sottile perché la sentivo assurda, mi accucciai vicino alla donna.",UNLABELLED,UNLABELLED,UNLABELLED,17,19,64822,64919,"In preda a una paura tanto più sottile perché la sentivo assurda, mi accucciai vicino alla donna.","['697-1', '697-2', '697-3', '697-4', '697-5', '697-6', '697-7', '697-8', '697-9', '697-10', '697-11', '697-12', '697-13', '697-14', '697-15', '697-16', '697-17', '697-18', '697-19']",745
E aspettai.,UNLABELLED,UNLABELLED,UNLABELLED,2,3,64920,64931,E aspettai.,"['698-1', '698-2', '698-3']",746
Sentivo il ticchettio dell ’ orologio.,UNLABELLED,UNLABELLED,UNLABELLED,5,7,64932,64968,Sentivo il ticchettio dell’orologio.,"['699-1', '699-2', '699-3', '699-4', '699-5', '699-6', '699-7']",747
L ’ ombra non riappariva né udivo rumori che potessi considerare indizi della sua presenza.,UNLABELLED,UNLABELLED,UNLABELLED,14,16,64972,65061,L’ombra non riappariva né udivo rumori che potessi considerare indizi della sua presenza.,"['700-1', '700-2', '700-3', '700-4', '700-5', '700-6', '700-7', '700-8', '700-9', '700-10', '700-11', '700-12', '700-13', '700-14', '700-15', '700-16']",748
"C ’ era la possibilità che il grosso animale si fosse nascosto e che, più che aspettare il momento opportuno per assalirci, fosse atterrito da noi e da quel fuoco che divampava allegro.",UNLABELLED,UNLABELLED,UNLABELLED,32,36,65062,65245,"C’era la possibilità che il grosso animale si fosse nascosto e che, più che aspettare il momento opportuno per assalirci, fosse atterrito da noi e da quel fuoco che divampava allegro.","['701-1', '701-2', '701-3', '701-4', '701-5', '701-6', '701-7', '701-8', '701-9', '701-10', '701-11', '701-12', '701-13', '701-14', '701-15', '701-16', '701-17', '701-18', '701-19', '701-20', '701-21', '701-22', '701-23', '701-24', '701-25', '701-26', '701-27', '701-28', '701-29', '701-30', '701-31', '701-32', '701-33', '701-34', '701-35', '701-36']",749
"Se fossi rimasto desto, tutto si sarebbe risolto.",UNLABELLED,UNLABELLED,UNLABELLED,8,10,65246,65295,"Se fossi rimasto desto, tutto si sarebbe risolto.","['702-1', '702-2', '702-3', '702-4', '702-5', '702-6', '702-7', '702-8', '702-9', '702-10']",750
"L ’ alba non poteva tardare e sarebbe giunta improvvisa, come girare la chiavetta di un interruttore: allora i rumori sarebbero cessati, tutte le ombre scomparse e quella che adesso mi impensieriva si sarebbe rivelata un cespuglio mosso dalla brezza notturna.",UNLABELLED,UNLABELLED,UNLABELLED,40,45,65296,65553,"L’alba non poteva tardare e sarebbe giunta improvvisa, come girare la chiavetta di un interruttore: allora i rumori sarebbero cessati, tutte le ombre scomparse e quella che adesso mi impensieriva si sarebbe rivelata un cespuglio mosso dalla brezza notturna.","['703-1', '703-2', '703-3', '703-4', '703-5', '703-6', '703-7', '703-8', '703-9', '703-10', '703-11', '703-12', '703-13', '703-14', '703-15', '703-16', '703-17', '703-18', '703-19', '703-20', '703-21', '703-22', '703-23', '703-24', '703-25', '703-26', '703-27', '703-28', '703-29', '703-30', '703-31', '703-32', '703-33', '703-34', '703-35', '703-36', '703-37', '703-38', '703-39', '703-40', '703-41', '703-42', '703-43', '703-44', '703-45']",751
Bisogna avere la forza di aspettare e (simili avventure non càpitano poi tutte le notti) la forza di rinunciare al sonno.,Narrator,Judgement,Narrator_Judgement,21,24,65554,65675,Bisogna avere la forza di aspettare e (simili avventure non càpitano poi tutte le notti) la forza di rinunciare al sonno.,"['704-1', '704-2', '704-3', '704-4', '704-5', '704-6', '704-7', '704-8', '704-9', '704-10', '704-11', '704-12', '704-13', '704-14', '704-15', '704-16', '704-17', '704-18', '704-19', '704-20', '704-21', '704-22', '704-23', '704-24']",752
"Poiché confesso che ora avrei volentieri dormito, se quella preoccupazione non mi avesse spinto alla veglia.",UNLABELLED,UNLABELLED,UNLABELLED,16,18,65676,65784,"Poiché confesso che ora avrei volentieri dormito, se quella preoccupazione non mi avesse spinto alla veglia.","['705-1', '705-2', '705-3', '705-4', '705-5', '705-6', '705-7', '705-8', '705-9', '705-10', '705-11', '705-12', '705-13', '705-14', '705-15', '705-16', '705-17', '705-18']",753
"La donna seguitava il suo sonno e, preso da una improvvisa tenerezza per quell ’ essere inesplicabile che si affidava a me con tanta semplice condiscendenza, le carezzai una mano.",UNLABELLED,UNLABELLED,UNLABELLED,29,33,65788,65965,"La donna seguitava il suo sonno e, preso da una improvvisa tenerezza per quell’essere inesplicabile che si affidava a me con tanta semplice condiscendenza, le carezzai una mano.","['706-1', '706-2', '706-3', '706-4', '706-5', '706-6', '706-7', '706-8', '706-9', '706-10', '706-11', '706-12', '706-13', '706-14', '706-15', '706-16', '706-17', '706-18', '706-19', '706-20', '706-21', '706-22', '706-23', '706-24', '706-25', '706-26', '706-27', '706-28', '706-29', '706-30', '706-31', '706-32', '706-33']",754
"L ’ amore è fatto di troppe altre cose, anche di lettere scritte e ricevute.",UNLABELLED,UNLABELLED,UNLABELLED,14,17,65966,66040,"L’amore è fatto di troppe altre cose, anche di lettere scritte e ricevute.","['707-1', '707-2', '707-3', '707-4', '707-5', '707-6', '707-7', '707-8', '707-9', '707-10', '707-11', '707-12', '707-13', '707-14', '707-15', '707-16', '707-17']",755
Io ero sceso a quella donna e più che un peccato sentivo di aver commesso un errore.,UNLABELLED,UNLABELLED,UNLABELLED,17,18,66041,66125,Io ero sceso a quella donna e più che un peccato sentivo di aver commesso un errore.,"['708-1', '708-2', '708-3', '708-4', '708-5', '708-6', '708-7', '708-8', '708-9', '708-10', '708-11', '708-12', '708-13', '708-14', '708-15', '708-16', '708-17', '708-18']",756
"Ella non dava all ’ esistenza il valore che le davo io, per lei tutto si sarebbe risolto nell ’ obbedirmi, sempre, senza chiedersi nulla.",Indigenous,UNLABELLED,Indigenous,23,29,66126,66259,"Ella non dava all’esistenza il valore che le davo io, per lei tutto si sarebbe risolto nell’obbedirmi, sempre, senza chiedersi nulla.","['709-1', '709-2', '709-3', '709-4', '709-5', '709-6', '709-7', '709-8', '709-9', '709-10', '709-11', '709-12', '709-13', '709-14', '709-15', '709-16', '709-17', '709-18', '709-19', '709-20', '709-21', '709-22', '709-23', '709-24', '709-25', '709-26', '709-27', '709-28', '709-29']",757
Qualcosa di più di un albero e qualcosa di meno di una donna.,UNLABELLED,UNLABELLED,UNLABELLED,13,14,66260,66321,Qualcosa di più di un albero e qualcosa di meno di una donna.,"['710-1', '710-2', '710-3', '710-4', '710-5', '710-6', '710-7', '710-8', '710-9', '710-10', '710-11', '710-12', '710-13', '710-14']",758
"Ma queste erano sciocche fantasie che azzardavo per passare il tempo: altre mani si tendevano verso di me, da chiarissime lontananze, altri sorrisi mi invitavano al ritorno; e sarebbe stato prudente dimenticare quella notte.",UNLABELLED,UNLABELLED,UNLABELLED,34,39,66322,66546,"Ma queste erano sciocche fantasie che azzardavo per passare il tempo: altre mani si tendevano verso di me, da chiarissime lontananze, altri sorrisi mi invitavano al ritorno; e sarebbe stato prudente dimenticare quella notte.","['711-1', '711-2', '711-3', '711-4', '711-5', '711-6', '711-7', '711-8', '711-9', '711-10', '711-11', '711-12', '711-13', '711-14', '711-15', '711-16', '711-17', '711-18', '711-19', '711-20', '711-21', '711-22', '711-23', '711-24', '711-25', '711-26', '711-27', '711-28', '711-29', '711-30', '711-31', '711-32', '711-33', '711-34', '711-35', '711-36', '711-37', '711-38', '711-39']",759
L ’ ombra ripassò nel senso contrario.,UNLABELLED,UNLABELLED,UNLABELLED,6,8,66550,66586,L’ombra ripassò nel senso contrario.,"['712-1', '712-2', '712-3', '712-4', '712-5', '712-6', '712-7', '712-8']",760
"Era davvero passata, non era una mia allucinazione, né uno scherzo del mal di denti che aveva cominciato a farsi sentire, per l ’ umidità notturna.",UNLABELLED,UNLABELLED,UNLABELLED,25,30,66587,66732,"Era davvero passata, non era una mia allucinazione, né uno scherzo del mal di denti che aveva cominciato a farsi sentire, per l’umidità notturna.","['713-1', '713-2', '713-3', '713-4', '713-5', '713-6', '713-7', '713-8', '713-9', '713-10', '713-11', '713-12', '713-13', '713-14', '713-15', '713-16', '713-17', '713-18', '713-19', '713-20', '713-21', '713-22', '713-23', '713-24', '713-25', '713-26', '713-27', '713-28', '713-29', '713-30']",761
"Mi alzai in piedi, per fare qualcosa, o forse soltanto per darmi coraggio.",Narrator,Knowledge,Narrator_Knowledge,13,16,66736,66810,"Mi alzai in piedi, per fare qualcosa, o forse soltanto per darmi coraggio.","['714-1', '714-2', '714-3', '714-4', '714-5', '714-6', '714-7', '714-8', '714-9', '714-10', '714-11', '714-12', '714-13', '714-14', '714-15', '714-16']",762
"L ’ ombra era di nuovo scomparsa, non potevo vederla, aveva aggirato un macigno e là, acquattata, aspettava.",UNLABELLED,UNLABELLED,UNLABELLED,17,23,66814,66920,"L’ombra era di nuovo scomparsa, non potevo vederla, aveva aggirato un macigno e là, acquattata, aspettava.","['715-1', '715-2', '715-3', '715-4', '715-5', '715-6', '715-7', '715-8', '715-9', '715-10', '715-11', '715-12', '715-13', '715-14', '715-15', '715-16', '715-17', '715-18', '715-19', '715-20', '715-21', '715-22', '715-23']",763
"Ebbi allora l ’ idea di sorprenderla, non potevo darle altri vantaggi: sei o sette metri ci separavano.",UNLABELLED,UNLABELLED,UNLABELLED,17,21,66921,67022,"Ebbi allora l’idea di sorprenderla, non potevo darle altri vantaggi: sei o sette metri ci separavano.","['716-1', '716-2', '716-3', '716-4', '716-5', '716-6', '716-7', '716-8', '716-9', '716-10', '716-11', '716-12', '716-13', '716-14', '716-15', '716-16', '716-17', '716-18', '716-19', '716-20', '716-21']",764
"Li avrebbe fatti in un salto ed è proprio quando uno è distratto che queste cose succedono, se devono succedere.",UNLABELLED,UNLABELLED,UNLABELLED,20,22,67023,67135,"Li avrebbe fatti in un salto ed è proprio quando uno è distratto che queste cose succedono, se devono succedere.","['717-1', '717-2', '717-3', '717-4', '717-5', '717-6', '717-7', '717-8', '717-9', '717-10', '717-11', '717-12', '717-13', '717-14', '717-15', '717-16', '717-17', '717-18', '717-19', '717-20', '717-21', '717-22']",765
"Potevo girare attorno al nostro macigno e, cautamente, prenderla alle spalle.",UNLABELLED,UNLABELLED,UNLABELLED,11,14,67139,67216,"Potevo girare attorno al nostro macigno e, cautamente, prenderla alle spalle.","['718-1', '718-2', '718-3', '718-4', '718-5', '718-6', '718-7', '718-8', '718-9', '718-10', '718-11', '718-12', '718-13', '718-14']",766
"C ’ era il pericolo della bestia ferita che diventa feroce, ma era un pericolo che dovevo affrontare e c ’ era anche la possibilità che la colpissi subito alla testa.",UNLABELLED,UNLABELLED,UNLABELLED,29,33,67217,67379,"C’era il pericolo della bestia ferita che diventa feroce, ma era un pericolo che dovevo affrontare e c’era anche la possibilità che la colpissi subito alla testa.","['719-1', '719-2', '719-3', '719-4', '719-5', '719-6', '719-7', '719-8', '719-9', '719-10', '719-11', '719-12', '719-13', '719-14', '719-15', '719-16', '719-17', '719-18', '719-19', '719-20', '719-21', '719-22', '719-23', '719-24', '719-25', '719-26', '719-27', '719-28', '719-29', '719-30', '719-31', '719-32', '719-33']",767
"La donna sospirò e si volse, muovendo le braccia.",UNLABELLED,UNLABELLED,UNLABELLED,9,11,67383,67432,"La donna sospirò e si volse, muovendo le braccia.","['720-1', '720-2', '720-3', '720-4', '720-5', '720-6', '720-7', '720-8', '720-9', '720-10', '720-11']",768
